Track name,Artist name,Album,Playlist name,Type,ISRC
"Delgao - Callejera","","","Favoritos","Playlist",""
"Paris Boy - Problemas","","","Favoritos","Playlist",""
"DIAZZ - Pa' Siempre (Video Oficial)","","","Favoritos","Playlist",""
"Eladio Carrion · Zion & Lennox · Wisin & Yandel · Lunay · Felix Gerardo Ortiz Torres · Gabriel Pizarro · Juan Luis Morera Luna · Llandel Veguilla Malave · Jefnier Osorio Moreno - Mi Error (Remix)","","","Favoritos","Playlist",""
"Bad Bunny · Mora · Benito A. Martinez Ocasio · Gabriel Mora Quintero - HIBIKI","","","Favoritos","Playlist",""
"Bad Bunny · Young Miko · Benito A. Martinez Ocasio · Maria Victoria Ramirez · Tegui Calderon Rosario · Miguel Montoya · Samuel Jiménez - FINA","","","Favoritos","Playlist",""
"Bad Bunny · Benito A. Martinez Ocasio · Charles Aznavour · Samuel Jiménez - MONACO","","","Favoritos","Playlist",""
"Feid · Cupido - PRIVILEGIOS","","","Favoritos","Playlist",""
"Feid - LUCES DE TECNO","","","Favoritos","Playlist",""
"Bad Bunny · Benito A. Martinez Ocasio · Carlos Eleta Almaran - NADIE SABE","","","Favoritos","Playlist",""
"MIK MISH · fedesttar · Simon Sarmiento · Deazza · Federico Valderrama · Nicolas Yate - Backup","","","Favoritos","Playlist",""
"Raul Clyde · Raúl Pérez Marqués - LA ÚLTIMA NOCHE","","","Favoritos","Playlist",""
"Quevedo · SAIKO · Pedro Luis Domínguez Quevedo · GARABATTO - Buenas","","","Favoritos","Playlist",""
"Sech · Jay Wheeler · Carlos Isaias Morales · José Ángel López Martínez · Omar Perez · Ramiro Barsallo · Rafael Issacs Carvajal Sanchez - Sad Gang","","","Favoritos","Playlist",""
"C. Tangana - Nunca Estoy","","","Favoritos","Playlist",""
"Caleb Calloway · Saiko - CARNET","","","Favoritos","Playlist",""
"fedesttar · Santto XO - Aguachami","","","Favoritos","Playlist",""
"JHAYCO - Dilema","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - MAREA","","","Favoritos","Playlist",""
"Mora · Álvaro Díaz · Gabriel Mora Quintero · Gabriel E. Rodriguez Morales - CÓRCEGA","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero · Kamil Jacob Assad - EL CHACAL","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - FANTASÍAS","","","Favoritos","Playlist",""
"Mora · Saiko · Gabriel Mora Quintero · Miguel Cantos Gómez · Machael Angelo Cole · Jahaan Sweet · Ulises Baron Miranda · Malcolm Perry · Braxton Cook · Enrique Sanchez - REINA","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - PASAJERO","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - DONDE SE APRENDE A QUERER?","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - MEDIA LUNA","","","Favoritos","Playlist",""
"Easykid - Siempre Pienso en Tí","","","Favoritos","Playlist",""
"Easykid · Lara Project - Baby Tk","","","Favoritos","Playlist",""
"Easykid · Kidd Voodoo - Cristina","","","Favoritos","Playlist",""
"Jory Boy · Lenny Tavárez · Sael - Santorini","","","Favoritos","Playlist",""
"Ivan Herzog · Ivan Herzog Vidal - 247","","","Favoritos","Playlist",""
"Alejo · Colla Sensi · Alejo - CREO QUE ES PA' TI","","","Favoritos","Playlist",""
"Saiko - Antidepresivos","","","Favoritos","Playlist",""
"legallyrxx - ARCHIVO 2.wav (SAN MIGUELITO)","","","Favoritos","Playlist",""
"Baskiat · Edwin José Collazos De La Hoz · César Augusto Betancourt · Robert Aguilera · Flambo · Rk Wavy - Shinpoo Pt.2","","","Favoritos","Playlist",""
"legallyrxx - Perriando Te Voy A Olvidar","","","Favoritos","Playlist",""
"Rels B · Daniel Heredia Vidal - SONRÍE ᐸ3","","","Favoritos","Playlist",""
"Sech · Mora · SAIKO · Carlos Isaias Morales · Garbiel Armando Mora Quintero · Miguel Cantos Gomez - Café Malibú","","","Favoritos","Playlist",""
"Rauw Alejandro - INQUIETO","","","Favoritos","Playlist",""
"Rauw Alejandro - CUKI","","","Favoritos","Playlist",""
"Quevedo · Pedro Luis Domínguez Quevedo · Javier Falquet Moragues · David Hernández García · Geovanny Javier Chasiloa Caza · Juan Pedro Moreno Carril - Columbia","","","Favoritos","Playlist",""
"Tainy · Mora · Zion - BUENOS AIRES","","","Favoritos","Playlist",""
"Bon Calso · Jorge Gonzalez · Jorge Gonzalez - Ojalá","","","Favoritos","Playlist",""
"Pol Granch - No Pegamos","","","Favoritos","Playlist",""
"Eladio Carrion - Tu Amor","","","Favoritos","Playlist",""
"Soge Culebra · Micro TDH - BALADAS","","","Favoritos","Playlist",""
"DUKI · Mauro Ezequiel Lombardo · Federico Yesan Rojas · Tomás Santos Juan · Iván Woscoboinik · Alejandro Alvarez Murga - GiGi","","","Favoritos","Playlist",""
"Raul Clyde - COSTABLANCA","","","Favoritos","Playlist",""
"Saiko · Quevedo · Feid · Mora · Miguel Cantos Gómez · Salomón Villada Hoyos · Pedro Luis Domínguez Quevedo · Gabriel Mora Quintero - POLARIS (Remix)","","","Favoritos","Playlist",""
"legallyrxx - Weekndᐸ3","","","Favoritos","Playlist",""
"Haze · Jhayco - En To Lao","","","Favoritos","Playlist",""
"Young Miko · Jowell & Randy - ID","","","Favoritos","Playlist",""
"Anuel AA · Emmanuel Gazmey Santiago - El Manual","","","Favoritos","Playlist",""
"Cruz Cafuné · Carlos Bruñas Zamorin - s3_e07_theboondocks_dvdrip.mpeg","","","Favoritos","Playlist",""
"Cruz Cafuné · Abhir Rajesh Hathiramani · Carlos Bruñas Zamorin · Cristina Carolina Zumaquero Garriga - Retro 11s","","","Favoritos","Playlist",""
"Cruz Cafuné · La Pantera · Carlos Bruñas Zamorin · Sergio Aimar Castellano Almeida - G WAGON","","","Favoritos","Playlist",""
"Cruz Cafuné · Carlos Bruñas Zamorin · Isaac Calderón Español - Cangrinaje","","","Favoritos","Playlist",""
"Rauw Alejandro - CORAZÓN DESPEINADO","","","Favoritos","Playlist",""
"Happykid · legallyrxx · Alan Octavio Mex Hernández · Kevin Manuel Miranda Salpica - BB SI SUPIERASᐸ\3","","","Favoritos","Playlist",""
"legallyrxx - Un despecho de legally","","","Favoritos","Playlist",""
"KHEA - DE LA TIERRA A MARTE","","","Favoritos","Playlist",""
"KHEA · Asan - INTERLUV RCP ᐸ/3 Ft. Asan","","","Favoritos","Playlist",""
"KHEA - VOLVERÁS","","","Favoritos","Playlist",""
"Zakyo · David Marley - BERMUDAS","","","Favoritos","Playlist",""
"Zakyo · David Marley - Dueto Leyenda","","","Favoritos","Playlist",""
"Zakyo · David Marley - REALIDAD","","","Favoritos","Playlist",""
"Alejo · Colla Sensi · Alejo · Izon - CORAZONES AZULES","","","Favoritos","Playlist",""
"Zakyo · David Marley - BELLAKERA","","","Favoritos","Playlist",""
"Alejo · Colla Sensi · Alejo · Daddysillo · Huertas · Baez - CANDY ""4:00 PG""","","","Favoritos","Playlist",""
"Alejo · Colla Sensi · Alejo · Brray · Brray - TU GATITO","","","Favoritos","Playlist",""
"ODDLIQUOR · marquitos - CURSIII","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - Primer Dia de Clases","","","Favoritos","Playlist",""
"Rvfv - Que te vaya bien","","","Favoritos","Playlist",""
"Juseph · Quevedo · Kevin Juseph Zapata Rodriguez · Pedro Dominguez Quevedo - La nena","","","Favoritos","Playlist",""
"Delgao · Soge Culebra · D3llano - Angelito (Remix)","","","Favoritos","Playlist",""
"Feid · Ak4:20 · Taiko - Malibu","","","Favoritos","Playlist",""
"Saiko · Bluefire · miguel cantos gomez - San Walter","","","Favoritos","Playlist",""
"Brytiago · Ak4:20 - Ganas de Verte","","","Favoritos","Playlist",""
"Baskiat - Pa Culear","","","Favoritos","Playlist",""
"Soge Culebra · Saiko - UNA ÚLTIMA VEZ","","","Favoritos","Playlist",""
"Soge Culebra - AIRBAG","","","Favoritos","Playlist",""
"ELIZALDE · Fabbio · Dímelo Milo - JUEVES (feat. Fabbio, Dímelo Milo)","","","Favoritos","Playlist",""
"Saiko · Ramón Melendi Espina · Miguel Cantos Gómez - SUPERNOVA","","","Favoritos","Playlist",""
"Kidd Keo - Drugz Education","","","Favoritos","Playlist",""
"Soge Culebra · Dylan Fuentes - Cosas que contarte","","","Favoritos","Playlist",""
"ROBI - Tu Mundo","","","Favoritos","Playlist",""
"Baskiat · César Augusto Betancourt - Fiera","","","Favoritos","Playlist",""
"Baskiat · César Augusto Betancourt - Quillamixxx","","","Favoritos","Playlist",""
"Deimi - Enigma","","","Favoritos","Playlist",""
"Baskiat · César Augusto Betancourt · Pichu Flexx - Los Paris","","","Favoritos","Playlist",""
"JHAYCO - Nos Matamos","","","Favoritos","Playlist",""
"Baskiat · César Augusto Betancourt · Edwin José Collazos De La Hoz · Flambo - Antonia (La Última Vuelta)","","","Favoritos","Playlist",""
"Baskiat · César Augusto Betancourt - Rompecabezas","","","Favoritos","Playlist",""
"Baskiat · RoyalLive - Báilame Que Luego Te Vas","","","Favoritos","Playlist",""
"ROSALÍA · Rauw Alejandro - BESO","","","Favoritos","Playlist",""
"paopao · Jay Wheeler - te kiero ver","","","Favoritos","Playlist",""
"Myke Towers - LALA","","","Favoritos","Playlist",""
"Myke Towers - SÁBADO","","","Favoritos","Playlist",""
"Eladio Carrión - ¿Qué Carajos Quieres Tú Ahora?","","","Favoritos","Playlist",""
"Feid - REMIX EXCLUSIVO","","","Favoritos","Playlist",""
"Eladio Carrión · Eladio Carrion - Haciendo Dinero","","","Favoritos","Playlist",""
"Eladio Carrión - Quizás, Tal Vez","","","Favoritos","Playlist",""
"Eladio Carrión - Mala Mía Otra Vez","","","Favoritos","Playlist",""
"Eladio Carrión · Bad Bunny · Benito A Martinez Ocasio - Coco Chanel","","","Favoritos","Playlist",""
